temperature,vibration,pressure,current,rpm,failure,failure_mode,operating_hours,ambient_temp,humidity,load_percent,recent_maintenance,timestamp,hour,day_of_week,month,is_working_hours,sensor_dropout,equipment_id
62.54928414764237,0.4406246327909756,95.16866976633364,6.776828429560822,1480.6865090719427,0,normal,13300.214912004396,15.235387009112923,48.11589253334398,73.93500288857352,1,2024-03-14 21:13:40.743031782,21,3,3,0,0,COMPRESSOR-001
66.5011548333287,0.2804579258360035,98.00072141008702,6.855290397552222,1474.3928693784742,0,normal,2565.021595707857,20.15861652031253,48.62367700149749,65.08098719809159,0,2024-01-15 04:33:30.549845772,4,0,1,0,0,MOTOR-001
66.65615895678252,0.39318375552637813,91.44834102346844,7.411993511817048,1468.2179947083443,0,normal,10807.672701125024,25.508971959930385,68.75336249626353,82.21877730402511,1,2024-03-01 00:59:22.152409584,0,4,3,0,0,PUMP-001
72.01816715280597,0.2670975699340213,96.50370442186072,8.512173489374206,1420.8718950554667,0,normal,1391.6433713963227,25.734810209064182,33.50460653845761,73.39033321210823,1,2024-01-08 16:16:57.988973868,16,0,1,1,0,COMPRESSOR-001
89.44911149045586,1.3102000154871005,88.85529802954845,12.373995242446966,1374.7458889141858,1,bearing_wear,1802.9841129926767,13.960268721250882,46.064599291237066,82.1946439312743,1,2024-04-06 13:59:57.302814744,13,5,4,0,0,PUMP-001
65.12890834341957,0.23993598539987102,97.60392059588268,7.249292754101634,1469.8317635502788,0,normal,14910.581546588774,27.955377584666756,55.825466081032076,71.6912400806771,0,2024-03-24 00:56:04.508934678,0,6,3,0,0,MOTOR-001
69.73411275916561,0.3025002000365292,97.29945519326466,10.366735710697737,1430.6390316792613,0,normal,13818.991099599898,19.979723829567142,64.67761732946052,83.96073710332445,0,2024-03-17 20:44:18.760521840,20,6,3,0,0,COMPRESSOR-001
73.2353726208353,0.26727207616832765,103.18641776429037,10.252479267980759,1422.5303130944483,0,normal,3769.4407461597184,23.64011618409365,37.76044820265313,100.0,0,2024-01-21 17:31:44.990414412,17,6,1,0,0,PUMP-001
75.52680074479598,0.5537087406207087,92.75000593098976,6.707984115311146,1423.7849549865348,1,normal_degradation,3303.592326868564,23.491170766127507,41.578576360881335,58.25923525279719,0,2024-05-17 10:19:31.212482166,10,4,5,1,0,PUMP-002
71.19493358839145,0.3016331497936838,97.27732662226227,8.676355683023626,1452.3945301762508,0,normal,10127.964859351416,24.563377203910235,28.412741797058146,72.17814449751597,0,2024-02-26 04:41:43.421514348,4,0,2,0,0,COMPRESSOR-001
58.87832781000349,0.2616799141419401,92.38686066388544,4.152134898099874,1458.7566649108,0,normal,4431.360583972953,21.174554718323332,42.585698678068496,43.97077760933391,0,2024-01-25 05:49:21.335404626,5,3,1,0,0,PUMP-001
66.54962925569578,0.23431136396869498,96.34604411462357,6.5363896301951705,1477.5312449126343,0,normal,9824.208235242162,28.838150798722378,31.884200497463887,72.78516331391516,1,2024-02-24 12:54:10.758560016,12,5,2,0,0,PUMP-001
84.86359413721318,2.4450294444840055,83.95351190901017,13.982253961091498,1453.2421245375372,1,vibration_anomaly,1779.2342043953988,18.838726848507847,38.37633869284921,87.20153777646523,0,2024-04-24 06:49:00.192585120,6,2,4,0,0,PUMP-002
